,제목,언론사,내용,작성시간,링크
0,"“고객님에겐 이 요금제가 좋아요”…LGU+, 생성형 AI 상담비서 선봬",서울경제,LG유플러스가 요금제 추천 등 가입자의 서비스 문의에 효율적으로 응대할 수 있는 생성형 인공지능(AI) 챗봇을 상반기 출시한다....,1시간 전,https://www.sedaily.com/NewsView/2D7TZAZE4J
1,"우리은행 인공지능 기반 상담사 'AI뱅커' 도입, 조만간 주담대 답변까지 확대",비즈니스포스트,[비즈니스포스트] 우리은행이 생성형 인공지능(AI) 기술에 기반한 금융상담 챗봇 서비스를 시작했다.우리은행은 7일사용자에게 예·적금 상품을 설명...,21시간 전,https://www.businesspost.co.kr/BP?command=article_view&num=348336
2,"[인터뷰] 와이즈넛 “검색‧챗봇으로 쌓아온 기술‧데이터, AI로 개화시킨다”",디지털데일리,"[디지털데일리 이종현기자] 인공지능(AI)이 사회 전반의 핵심 키워드로 급부상했다. 정보기술(IT) 기업들뿐만 아니라 생활가전이나 유통,...",22시간 전,https://www.ddaily.co.kr/page/view/2024040711304655110
3,"채널톡, 단순·반복 문의 답하는 ‘AI 챗봇’ 상반기 출시 - 조선비즈",Chosunbiz,비즈니스 전용 메신저 '채널톡'을 운영하는 정보기술(IT) 스타트업 채널코퍼레이션이 올 상반기 생성형 인공지능(AI) 챗봇을 출시한다.,4일 전,https://biz.chosun.com/industry/company/2024/04/03/XU3SE3JDLJC6HPS62EYWJ7Z5IQ/
4,"[초점] 머스크의 ‘그록’, 챗GTP 위협할 대항마 급부상",글로벌이코노믹,세계 최대 단문 소셜미디어 X의 총수를 겸하고 있는 일론 머스크 테슬라 최고경영자(CEO)가 새로 만든 인공지능(AI) 챗봇 '그록(Grok)'이 생성형 AI...,22시간 전,https://www.g-enews.com/article/Global-Biz/2024/04/202404071046106079a1f309431_1
5,"마이크로소프트, 엑스박스 애니메이션 AI 챗봇 개발",더구루,[더구루=홍성일 기자] 마이크로소프트(MS)가 엑스박스(Xbox)에 애니메이션 인공지능(AI) 챗봇을 적용하기 위해 개발을 진행 중이다.,4일 전,https://theguru.co.kr/news/article.html?no=68987
6,"""구글, AI 검색 유료화 추진 중...실효성은 의문""",AI타임스,"구글이 생성 인공지능(AI) 검색 유료화를 검토 중인 것으로 알려졌다. 일반 검색에 비해 높은 비용 문제 때문인데, AI 검색이 실효성이 있을지는 의문...",3일 전,https://www.aitimes.com/news/articleView.html?idxno=158573
7,'AI 행정혁신'에 2000억 쏟아붓는 서울시..인공지능 챗봇·CCTV 나온다,머니투데이,서울시가 인공지능(AI)을 접목한 행정혁신에 2000억원을 투입해 시민 편의와 공무원 업무 효율을 동시에 높인다. 지방자치단체 차원에선 최초로 'AI...,5일 전,https://news.mt.co.kr/mtview.php?no=2024040218241383839
8,"마이크로소프트, AI 챗봇 '탈옥' 방지 기능 강화",포춘코리아(FORTUNE KOREA),마이크로소프트(Microsoft Corp.)가 인공지능 챗봇을 속여 의도치 않은 행동을 유도하는 것을 어렵게 만드는 데 주력하고 있다.,1주 전,https://www.fortunekorea.co.kr/news/articleView.html?idxno=36379
9,"‘AI 캐릭터 직접 제작해 대화’...스캐터랩, 스토리 플랫폼 ‘제타’ 출시",매일경제,"대학교 여사친, 남자 아이돌 등 사용자가 직접 인공지능(AI) 페르소나를 만들고 웹소설과 같은 스토리를 제작할 수 있는 서비스가 나왔다.",6일 전,https://www.mk.co.kr/news/it/10980152
